threshold,tp,fn,tn,fp
0.049999999999999996,244,1,0,105
0.05499999999999999,244,1,0,105
0.05999999999999999,243,2,3,102
0.06499999999999999,242,3,4,101
0.06999999999999999,242,3,5,100
0.07499999999999998,242,3,6,99
0.07999999999999999,242,3,6,99
0.08499999999999998,242,3,6,99
0.08999999999999998,242,3,6,99
0.09499999999999999,242,3,8,97
0.09999999999999998,241,4,8,97
0.10499999999999998,241,4,11,94
0.10999999999999997,241,4,11,94
0.11499999999999998,241,4,11,94
0.11999999999999998,241,4,11,94
0.12499999999999997,241,4,11,94
0.12999999999999998,241,4,12,93
0.13499999999999998,241,4,14,91
0.13999999999999999,240,5,14,91
0.145,240,5,15,90
0.15,239,6,15,90
0.155,239,6,16,89
0.15999999999999998,239,6,17,88
0.16499999999999998,238,7,18,87
0.16999999999999998,236,9,19,86
0.175,236,9,21,84
0.18,236,9,22,83
0.18499999999999997,236,9,22,83
0.18999999999999997,236,9,23,82
0.19499999999999998,235,10,23,82
0.19999999999999998,234,11,23,82
0.205,234,11,24,81
0.20999999999999996,233,12,24,81
0.21499999999999997,231,14,25,80
0.21999999999999997,231,14,26,79
0.22499999999999998,230,15,27,78
0.22999999999999998,228,17,28,77
0.235,228,17,30,75
0.23999999999999996,226,19,31,74
0.24499999999999997,225,20,31,74
0.24999999999999997,225,20,31,74
0.25499999999999995,225,20,31,74
0.25999999999999995,225,20,31,74
0.26499999999999996,224,21,32,73
0.26999999999999996,224,21,34,71
0.27499999999999997,223,22,34,71
0.27999999999999997,222,23,35,70
0.285,222,23,35,70
0.29,222,23,35,70
0.295,220,25,39,66
0.3,220,25,39,66
0.30499999999999994,220,25,39,66
0.30999999999999994,220,25,39,66
0.31499999999999995,219,26,41,64
0.31999999999999995,219,26,42,63
0.32499999999999996,217,28,43,62
0.32999999999999996,216,29,43,62
0.33499999999999996,215,30,43,62
0.33999999999999997,213,32,43,62
0.345,212,33,44,61
0.35,210,35,47,58
0.355,209,36,50,55
0.35999999999999993,206,39,51,54
0.36499999999999994,205,40,51,54
0.36999999999999994,202,43,51,54
0.37499999999999994,199,46,51,54
0.37999999999999995,198,47,54,51
0.38499999999999995,197,48,55,50
0.38999999999999996,195,50,55,50
0.39499999999999996,195,50,55,50
0.39999999999999997,194,51,55,50
0.40499999999999997,192,53,56,49
0.4099999999999999,192,53,57,48
0.4149999999999999,189,56,57,48
0.41999999999999993,188,57,57,48
0.42499999999999993,187,58,58,47
0.42999999999999994,184,61,58,47
0.43499999999999994,183,62,60,45
0.43999999999999995,182,63,61,44
0.44499999999999995,181,64,62,43
0.44999999999999996,179,66,63,42
0.45499999999999996,178,67,64,41
0.45999999999999996,178,67,64,41
0.4649999999999999,176,69,65,40
0.4699999999999999,175,70,65,40
0.4749999999999999,175,70,65,40
0.4799999999999999,173,72,65,40
0.48499999999999993,173,72,66,39
0.48999999999999994,172,73,66,39
0.49499999999999994,171,74,69,36
0.49999999999999994,169,76,69,36
0.5049999999999999,165,80,70,35
0.5099999999999999,165,80,72,33
0.5149999999999999,165,80,73,32
0.5199999999999999,162,83,74,31
0.5249999999999999,162,83,74,31
0.5299999999999999,161,84,74,31
0.5349999999999999,158,87,75,30
0.5399999999999999,157,88,76,29
0.5449999999999999,157,88,76,29
0.5499999999999999,154,91,77,28
0.5549999999999999,153,92,78,27
0.5599999999999999,151,94,79,26
0.565,150,95,79,26
0.57,148,97,80,25
0.575,147,98,81,24
0.58,145,100,81,24
0.585,143,102,81,24
0.59,143,102,81,24
0.595,143,102,81,24
0.5999999999999999,142,103,81,24
0.6049999999999999,141,104,81,24
0.6099999999999999,140,105,82,23
0.6149999999999999,140,105,82,23
0.6199999999999999,139,106,82,23
0.6249999999999999,138,107,82,23
0.6299999999999999,136,109,82,23
0.6349999999999999,136,109,82,23
0.6399999999999999,135,110,82,23
0.6449999999999999,135,110,82,23
0.6499999999999999,133,112,84,21
0.6549999999999999,131,114,85,20
0.6599999999999999,130,115,85,20
0.6649999999999999,128,117,87,18
0.6699999999999999,127,118,87,18
0.6749999999999999,127,118,87,18
0.6799999999999999,124,121,88,17
0.6849999999999999,123,122,88,17
0.69,121,124,88,17
0.695,121,124,89,16
0.7,119,126,89,16
0.7049999999999998,118,127,89,16
0.7099999999999999,117,128,89,16
0.7149999999999999,117,128,89,16
0.7199999999999999,115,130,89,16
0.7249999999999999,114,131,90,15
0.7299999999999999,114,131,90,15
0.7349999999999999,109,136,90,15
0.7399999999999999,106,139,91,14
0.7449999999999999,105,140,91,14
0.7499999999999999,100,145,91,14
0.7549999999999999,100,145,91,14
0.7599999999999999,98,147,91,14
0.7649999999999999,96,149,91,14
0.7699999999999999,95,150,93,12
0.7749999999999999,92,153,93,12
0.7799999999999999,92,153,93,12
0.7849999999999999,91,154,93,12
0.7899999999999999,88,157,93,12
0.7949999999999999,84,161,93,12
0.7999999999999999,82,163,95,10
0.8049999999999999,82,163,96,9
0.8099999999999998,79,166,96,9
0.8149999999999998,76,169,97,8
0.8199999999999998,75,170,97,8
0.8249999999999998,72,173,97,8
0.8299999999999998,69,176,97,8
0.8349999999999999,66,179,97,8
0.8399999999999999,64,181,98,7
0.8449999999999999,58,187,98,7
0.8499999999999999,55,190,98,7
0.8549999999999999,51,194,98,7
0.8599999999999999,50,195,98,7
0.8649999999999999,47,198,98,7
0.8699999999999999,47,198,98,7
0.8749999999999999,42,203,100,5
0.8799999999999999,40,205,100,5
0.8849999999999999,38,207,100,5
0.8899999999999999,37,208,100,5
0.8949999999999999,36,209,100,5
0.8999999999999999,33,212,100,5
0.9049999999999999,28,217,102,3
0.9099999999999999,27,218,102,3
0.9149999999999999,25,220,103,2
0.9199999999999998,17,228,104,1
0.9249999999999998,14,231,104,1
0.9299999999999998,14,231,104,1
0.9349999999999998,10,235,104,1
0.9399999999999998,10,235,104,1
0.9449999999999998,9,236,104,1
0.9499999999999998,7,238,104,1
0.9549999999999998,7,238,105,0
0.9599999999999999,6,239,105,0
0.9649999999999999,3,242,105,0
0.9699999999999999,1,244,105,0
0.9749999999999999,1,244,105,0
0.9799999999999999,1,244,105,0
