threshold,precision,sensitivity,specificity,fpr,fscore,youden,matthews,balanced_accuracy,standard_accuracy
0.049999999999999996,0.6991404011461319,0.9959183673469387,0.0,1.0,0.8215488215488216,-0.004081632653061273,-0.03504280757400653,0.49795918367346936,0.7
0.05499999999999999,0.6991404011461319,0.9959183673469387,0.0,1.0,0.8215488215488216,-0.004081632653061273,-0.03504280757400653,0.49795918367346936,0.7
0.05999999999999999,0.7043478260869566,0.9918367346938776,0.02857142857142857,0.9714285714285714,0.823728813559322,0.020408163265306145,0.07881104062391008,0.5102040816326531,0.7
0.06499999999999999,0.7055393586005831,0.9877551020408163,0.0380952380952381,0.9619047619047619,0.8231292517006803,0.02585034013605436,0.08461510029558889,0.5129251700680272,0.7
0.06999999999999999,0.7076023391812866,0.9877551020408163,0.047619047619047616,0.9523809523809523,0.8245315161839863,0.03537414965986385,0.10846900443638109,0.5176870748299319,0.7
0.07499999999999998,0.7096774193548387,0.9877551020408163,0.05714285714285714,0.9428571428571428,0.825938566552901,0.04489795918367334,0.12998877418150556,0.5224489795918367,0.7
0.07999999999999999,0.7096774193548387,0.9877551020408163,0.05714285714285714,0.9428571428571428,0.825938566552901,0.04489795918367334,0.12998877418150556,0.5224489795918367,0.7
0.08499999999999998,0.7096774193548387,0.9877551020408163,0.05714285714285714,0.9428571428571428,0.825938566552901,0.04489795918367334,0.12998877418150556,0.5224489795918367,0.7
0.08999999999999998,0.7096774193548387,0.9877551020408163,0.05714285714285714,0.9428571428571428,0.825938566552901,0.04489795918367334,0.12998877418150556,0.5224489795918367,0.7
0.09499999999999999,0.7138643067846607,0.9877551020408163,0.0761904761904762,0.9238095238095239,0.8287671232876712,0.06394557823129254,0.1679546448361493,0.5319727891156463,0.7
0.09999999999999998,0.7130177514792899,0.9836734693877551,0.0761904761904762,0.9238095238095239,0.8267581475128645,0.05986394557823127,0.15076275184803428,0.5299319727891156,0.7
0.10499999999999998,0.7194029850746269,0.9836734693877551,0.10476190476190476,0.8952380952380953,0.8310344827586207,0.08843537414965996,0.20009474183383105,0.54421768707483,0.7
0.10999999999999997,0.7194029850746269,0.9836734693877551,0.10476190476190476,0.8952380952380953,0.8310344827586207,0.08843537414965996,0.20009474183383105,0.54421768707483,0.7
0.11499999999999998,0.7194029850746269,0.9836734693877551,0.10476190476190476,0.8952380952380953,0.8310344827586207,0.08843537414965996,0.20009474183383105,0.54421768707483,0.7
0.11999999999999998,0.7194029850746269,0.9836734693877551,0.10476190476190476,0.8952380952380953,0.8310344827586207,0.08843537414965996,0.20009474183383105,0.54421768707483,0.7
0.12499999999999997,0.7194029850746269,0.9836734693877551,0.10476190476190476,0.8952380952380953,0.8310344827586207,0.08843537414965996,0.20009474183383105,0.54421768707483,0.7
0.12999999999999998,0.7215568862275449,0.9836734693877551,0.11428571428571428,0.8857142857142857,0.8324697754749568,0.09795918367346945,0.21492633070532186,0.5489795918367347,0.7
0.13499999999999998,0.7259036144578314,0.9836734693877551,0.13333333333333333,0.8666666666666667,0.8353552859618719,0.11700680272108843,0.24276356665610901,0.5585034013605442,0.7
0.13999999999999999,0.7250755287009063,0.9795918367346939,0.13333333333333333,0.8666666666666667,0.8333333333333333,0.11292517006802716,0.22839029614415032,0.5564625850340136,0.7
0.145,0.7272727272727273,0.9795918367346939,0.14285714285714285,0.8571428571428572,0.8347826086956521,0.12244897959183665,0.24174688920761409,0.5612244897959183,0.7
0.15,0.7264437689969605,0.9755102040816327,0.14285714285714285,0.8571428571428572,0.832752613240418,0.1183673469387756,0.22840310780255954,0.5591836734693878,0.7
0.155,0.7286585365853658,0.9755102040816327,0.1523809523809524,0.8476190476190476,0.8342059336823734,0.1278911564625851,0.24147375965570156,0.5639455782312925,0.7
0.15999999999999998,0.7308868501529052,0.9755102040816327,0.1619047619047619,0.8380952380952381,0.8356643356643357,0.13741496598639458,0.2541405304598839,0.5687074829931973,0.7
0.16499999999999998,0.7323076923076923,0.9714285714285714,0.17142857142857143,0.8285714285714285,0.8350877192982457,0.1428571428571428,0.254195563720897,0.5714285714285714,0.7
0.16999999999999998,0.7329192546583851,0.963265306122449,0.18095238095238095,0.819047619047619,0.8324514991181658,0.14421768707482996,0.24360672114751933,0.572108843537415,0.7
0.175,0.7375,0.963265306122449,0.2,0.8,0.8353982300884957,0.16326530612244894,0.2672612419124244,0.5816326530612245,0.7
0.18,0.7398119122257053,0.963265306122449,0.20952380952380953,0.7904761904761904,0.8368794326241135,0.17278911564625843,0.27868775376078164,0.5863945578231292,0.7
0.18499999999999997,0.7398119122257053,0.963265306122449,0.20952380952380953,0.7904761904761904,0.8368794326241135,0.17278911564625843,0.27868775376078164,0.5863945578231292,0.7
0.18999999999999997,0.7421383647798742,0.963265306122449,0.21904761904761905,0.780952380952381,0.8383658969804618,0.18231292517006814,0.2898722235052338,0.5911564625850341,0.7
0.19499999999999998,0.7413249211356467,0.9591836734693877,0.21904761904761905,0.780952380952381,0.8362989323843416,0.17823129251700687,0.27949564627765366,0.5891156462585034,0.7
0.19999999999999998,0.740506329113924,0.9551020408163265,0.21904761904761905,0.780952380952381,0.8342245989304813,0.1741496598639456,0.2694742813841107,0.5870748299319728,0.7
0.205,0.7428571428571429,0.9551020408163265,0.22857142857142856,0.7714285714285715,0.8357142857142859,0.18367346938775508,0.28056585887484736,0.5918367346938775,0.7
0.20999999999999996,0.7420382165605095,0.9510204081632653,0.22857142857142856,0.7714285714285715,0.8336314847942755,0.1795918367346938,0.2709244556351588,0.5897959183673469,0.7
