threshold,tp,fn,tn,fp,precision,sensitivity,specificity,fpr,fscore,youden,balanced_accuracy,standard_accuracy,field,element
0.38999999999999996,58,12,20,18,0.7631578947368421,0.8285714285714286,0.5263157894736842,0.4736842105263158,0.7945205479452055,0.3548872180451128,0.6774436090225564,0.6481481481481481,female,1
0.38999999999999996,137,38,35,32,0.8106508875739645,0.7828571428571428,0.5223880597014925,0.4776119402985075,0.7965116279069768,0.3052452025586354,0.6526226012793177,0.7231404958677686,female,0
0.38999999999999996,158,34,30,36,0.8144329896907216,0.8229166666666666,0.45454545454545453,0.5454545454545454,0.8186528497409326,0.2774621212121211,0.6387310606060606,0.7441860465116279,housing,A152
0.38999999999999996,21,10,15,5,0.8076923076923077,0.6774193548387096,0.75,0.25,0.7368421052631579,0.4274193548387095,0.7137096774193548,0.6078431372549019,housing,A151
0.38999999999999996,16,6,10,9,0.64,0.7272727272727273,0.5263157894736842,0.4736842105263158,0.6808510638297872,0.2535885167464116,0.6267942583732058,0.5365853658536586,housing,A153
0.38999999999999996,15,7,9,3,0.8333333333333334,0.6818181818181818,0.75,0.25,0.7499999999999999,0.43181818181818166,0.7159090909090908,0.6470588235294118,savings_acc_class,A62
0.38999999999999996,101,37,43,30,0.7709923664122137,0.7318840579710145,0.589041095890411,0.410958904109589,0.7509293680297398,0.3209251538614255,0.6604625769307128,0.6540284360189573,savings_acc_class,A61
0.38999999999999996,13,2,1,3,0.8125,0.8666666666666667,0.25,0.75,0.8387096774193549,0.1166666666666667,0.5583333333333333,0.7894736842105263,savings_acc_class,A64
0.38999999999999996,48,4,2,10,0.8275862068965517,0.9230769230769231,0.16666666666666666,0.8333333333333334,0.8727272727272727,0.08974358974358987,0.5448717948717949,0.8125,savings_acc_class,A65
0.38999999999999996,49,12,18,20,0.7101449275362319,0.8032786885245902,0.47368421052631576,0.5263157894736843,0.7538461538461538,0.2769628990509059,0.6384814495254529,0.6161616161616161,e_chq_acc_status,A12
0.38999999999999996,116,3,1,16,0.8787878787878788,0.9747899159663865,0.058823529411764705,0.9411764705882353,0.9243027888446215,0.03361344537815114,0.5168067226890756,0.875,e_chq_acc_status,A14
0.38999999999999996,27,23,33,14,0.6585365853658537,0.54,0.7021276595744681,0.2978723404255319,0.5934065934065934,0.24212765957446813,0.6210638297872341,0.5154639175257731,e_chq_acc_status,A11
0.38999999999999996,3,12,3,0,1.0,0.2,1.0,0.0,0.33333333333333337,0.19999999999999996,0.6,0.8333333333333334,e_chq_acc_status,A13
