"threshold","tp","fn","tn","fp","precision","sensitivity","specificity","fscore","youden","matthews","balanced_accuracy","standard_accuracy","field","element"
0.44,59,11,24,14,0.8082191781,0.8428571429,0.6315789474,0.8251748252,0.4744360902,0.4840866259,0.7372180451,0.6481481481,"female",1
0.44,127,48,45,22,0.8523489933,0.7257142857,0.671641791,0.7839506173,0.3973560768,0.3655120308,0.6986780384,0.7231404959,"female",0
0.44,104,39,45,20,0.8387096774,0.7272727273,0.6923076923,0.7790262172,0.4195804196,0.3963596392,0.7097902098,0.6875,"A192",0
0.44,82,20,24,16,0.8367346939,0.8039215686,0.6,0.82,0.4039215686,0.3929051757,0.7019607843,0.7183098592,"A192",1
0.44,84,36,40,16,0.84,0.7,0.7142857143,0.7636363636,0.4142857143,0.3895630867,0.7071428571,0.6818181818,"credit_history","A32"
0.44,5,0,7,3,0.625,1,0.7,0.7692307692,0.7,0.6614378278,0.85,0.3333333333,"credit_history","A30"
0.44,80,12,12,8,0.9090909091,0.8695652174,0.6,0.8888888889,0.4695652174,0.4382862782,0.7347826087,0.8214285714,"credit_history","A34"
0.44,2,2,6,4,0.3333333333,0.5,0.6,0.4,0.1,0.0912870929,0.55,0.2857142857,"credit_history","A31"
0.44,15,9,4,5,0.75,0.625,0.4444444444,0.6818181818,0.0694444444,0.0632962104,0.5347222222,0.7272727273,"credit_history","A33"
