threshold,tp,fn,tn,fp,precision,sensitivity,specificity,fscore,youden,matthews,balanced_accuracy,standard_accuracy
0.2,230,15,31,74,0.756578947368421,0.9387755102040817,0.29523809523809524,0.8378870673952642,0.23401360544217686,0.31739720051067344,0.6170068027210884,0.7
0.21000000000000002,229,16,31,74,0.7557755775577558,0.9346938775510204,0.29523809523809524,0.8357664233576643,0.2299319727891156,0.30903439192541743,0.6149659863945578,0.7
0.22000000000000003,228,17,33,72,0.76,0.9306122448979591,0.3142857142857143,0.8366972477064221,0.2448979591836733,0.32071349029490925,0.6224489795918366,0.7
0.23000000000000004,228,17,33,72,0.76,0.9306122448979591,0.3142857142857143,0.8366972477064221,0.2448979591836733,0.32071349029490925,0.6224489795918366,0.7
0.24000000000000005,226,19,33,72,0.7583892617449665,0.9224489795918367,0.3142857142857143,0.8324125230202578,0.23673469387755097,0.305021039681811,0.6183673469387755,0.7
0.25000000000000006,226,19,33,72,0.7583892617449665,0.9224489795918367,0.3142857142857143,0.8324125230202578,0.23673469387755097,0.305021039681811,0.6183673469387755,0.7
0.26000000000000006,226,19,34,71,0.7609427609427609,0.9224489795918367,0.3238095238095238,0.8339483394833949,0.24625850340136046,0.3148130797916506,0.6231292517006802,0.7
0.2700000000000001,225,20,34,71,0.7601351351351351,0.9183673469387755,0.3238095238095238,0.8317929759704251,0.2421768707482994,0.30723282874503777,0.6210884353741497,0.7
0.2800000000000001,225,20,38,67,0.7705479452054794,0.9183673469387755,0.3619047619047619,0.8379888268156425,0.28027210884353737,0.345423714869377,0.6401360544217687,0.7
0.2900000000000001,223,22,41,64,0.7770034843205574,0.9102040816326531,0.3904761904761905,0.8383458646616542,0.3006802721088435,0.358650469110977,0.6503401360544218,0.7
0.3000000000000001,222,23,44,61,0.784452296819788,0.9061224489795918,0.41904761904761906,0.8409090909090909,0.32517006802721093,0.3787543544044186,0.6625850340136055,0.7
0.3100000000000001,221,24,45,60,0.7864768683274022,0.9020408163265307,0.42857142857142855,0.8403041825095058,0.33061224489795915,0.3808192741383643,0.6653061224489796,0.7
0.3200000000000001,220,25,46,59,0.7885304659498208,0.8979591836734694,0.4380952380952381,0.8396946564885496,0.33605442176870737,0.3829623062812209,0.6680272108843537,0.7
0.3300000000000001,219,26,48,57,0.7934782608695652,0.8938775510204081,0.45714285714285713,0.8406909788867563,0.3510204081632653,0.3939486873173288,0.6755102040816326,0.7
0.34000000000000014,216,29,48,57,0.7912087912087912,0.8816326530612245,0.45714285714285713,0.833976833976834,0.3387755102040817,0.37476844230717254,0.6693877551020408,0.7
0.35000000000000014,212,33,48,57,0.7881040892193308,0.8653061224489796,0.45714285714285713,0.8249027237354086,0.3224489795918368,0.3503644625019108,0.6612244897959184,0.7
0.36000000000000015,210,35,49,56,0.7894736842105263,0.8571428571428571,0.4666666666666667,0.8219178082191781,0.32380952380952377,0.3474456257081473,0.6619047619047619,0.7
0.37000000000000016,205,40,51,54,0.7915057915057915,0.8367346938775511,0.4857142857142857,0.8134920634920635,0.3224489795918368,0.33687448642909806,0.6612244897959184,0.7
0.38000000000000017,203,42,54,51,0.7992125984251969,0.8285714285714286,0.5142857142857142,0.8136272545090181,0.34285714285714297,0.35215869722540727,0.6714285714285715,0.7
0.3900000000000002,202,43,54,51,0.7984189723320159,0.8244897959183674,0.5142857142857142,0.8112449799196788,0.3387755102040817,0.3468514960152704,0.6693877551020408,0.7
0.4000000000000002,198,47,59,46,0.8114754098360656,0.8081632653061225,0.5619047619047619,0.8098159509202454,0.3700680272108845,0.36907226564182805,0.6850340136054422,0.7
0.4100000000000002,197,48,60,45,0.8140495867768595,0.8040816326530612,0.5714285714285714,0.8090349075975359,0.3755102040816327,0.3725459735748946,0.6877551020408164,0.7
0.4200000000000002,193,52,65,40,0.8283261802575107,0.7877551020408163,0.6190476190476191,0.807531380753138,0.4068027210884355,0.39517608063356674,0.7034013605442178,0.7
0.4300000000000002,189,56,67,38,0.8325991189427313,0.7714285714285715,0.638095238095238,0.8008474576271187,0.4095238095238094,0.3930894281164907,0.7047619047619047,0.7
0.4400000000000002,186,59,69,36,0.8378378378378378,0.7591836734693878,0.6571428571428571,0.7965738758029979,0.416326530612245,0.39612322582576504,0.7081632653061225,0.7
0.45000000000000023,181,64,71,34,0.8418604651162791,0.7387755102040816,0.6761904761904762,0.7869565217391304,0.41496598639455784,0.3906646164439815,0.7074829931972789,0.7
0.46000000000000024,179,66,72,33,0.8443396226415094,0.7306122448979592,0.6857142857142857,0.7833698030634573,0.416326530612245,0.3903950527339061,0.7081632653061225,0.7
0.47000000000000025,178,67,72,33,0.8436018957345972,0.726530612244898,0.6857142857142857,0.780701754385965,0.41224489795918373,0.3860862663028702,0.7061224489795919,0.7
0.48000000000000026,176,69,72,33,0.8421052631578947,0.7183673469387755,0.6857142857142857,0.775330396475771,0.4040816326530612,0.3775409832706274,0.7020408163265306,0.7
0.49000000000000027,171,74,72,33,0.8382352941176471,0.6979591836734694,0.6857142857142857,0.7616926503340757,0.38367346938775526,0.3565725848803393,0.6918367346938776,0.7
0.5000000000000002,168,77,72,33,0.835820895522388,0.6857142857142857,0.6857142857142857,0.7533632286995516,0.37142857142857144,0.3442403992404111,0.6857142857142857,0.7
0.5100000000000002,168,77,73,32,0.84,0.6857142857142857,0.6952380952380952,0.7550561797752808,0.38095238095238093,0.3527668414752787,0.6904761904761905,0.7
0.5200000000000002,167,78,74,31,0.8434343434343434,0.6816326530612244,0.7047619047619048,0.7539503386004514,0.38639455782312915,0.3572352479163618,0.6931972789115646,0.7
